dataset,algorithm,accuracy,f1score
CIFAR-10,PESA2,0.864,0.86607
CIFAR-10,PESA2,0.864,0.86607
CIFAR-10,PESA2,0.864,0.86607
CIFAR-10,PESA2,0.864,0.86607
CIFAR-10,PESA2,0.864,0.86607
CIFAR-10,PESA2,0.864,0.86607
CIFAR-10,PESA2,0.864,0.86607
CIFAR-10,PESA2,0.864,0.86607
CIFAR-10,PESA2,0.864,0.86607
CIFAR-10,PESA2,0.8635,0.86417
CIFAR-10,SPEA2,0.864,0.86607
CIFAR-10,SPEA2,0.864,0.86607
CIFAR-10,SPEA2,0.864,0.86607
CIFAR-10,SPEA2,0.864,0.86607
CIFAR-10,SPEA2,0.864,0.86607
CIFAR-10,SPEA2,0.864,0.86607
CIFAR-10,SPEA2,0.864,0.86607
CIFAR-10,SPEA2,0.86283,0.86464
CIFAR-10,SPEA2,0.864,0.86607
CIFAR-10,SPEA2,0.864,0.86607
CIFAR-10,NSGAII,0.864,0.86607
CIFAR-10,NSGAII,0.864,0.86607
CIFAR-10,NSGAII,0.864,0.86607
CIFAR-10,NSGAII,0.864,0.86607
CIFAR-10,NSGAII,0.864,0.86607
CIFAR-10,NSGAII,0.864,0.86607
CIFAR-10,NSGAII,0.8635,0.86417
CIFAR-10,NSGAII,0.86283,0.86464
CIFAR-10,NSGAII,0.8635,0.86417
CIFAR-10,NSGAII,0.86283,0.86464
CIFAR-10,DBEA,0.86233,0.86333
CIFAR-10,DBEA,0.86233,0.86333
CIFAR-10,DBEA,0.85967,0.86201
CIFAR-10,DBEA,0.86133,0.86371
CIFAR-10,DBEA,0.86133,0.86371
CIFAR-10,DBEA,0.8635,0.86417
CIFAR-10,DBEA,0.86283,0.86464
CIFAR-10,DBEA,0.86067,0.86106
CIFAR-10,DBEA,0.8635,0.86417
CIFAR-10,DBEA,0.86283,0.86464
CIFAR-10,eMOEA,0.85983,0.86234
CIFAR-10,eMOEA,0.84517,0.8459
CIFAR-10,eMOEA,0.84617,0.84627
CIFAR-10,eMOEA,0.86283,0.86464
CIFAR-10,eMOEA,0.82933,0.83137
CIFAR-10,eMOEA,0.8635,0.86417
CIFAR-10,eMOEA,0.8365,0.83851
CIFAR-10,eMOEA,0.85417,0.85538
CIFAR-10,eMOEA,0.84517,0.8459
