dataset,algorithm,accuracy,f1score
octmnist,DBEA,0.7730000019073486,0.773198127746582
octmnist,DBEA,0.7570000290870667,0.7602306008338928
octmnist,DBEA,0.7756667137145996,0.7791883945465088
octmnist,DBEA,0.784333348274231,0.7889229655265808
octmnist,DBEA,0.783666729927063,0.7841331958770752
octmnist,DBEA,0.7740000486373901,0.777948260307312
octmnist,DBEA,0.7640000581741333,0.7684616446495056
octmnist,DBEA,0.784333348274231,0.7889229655265808
octmnist,DBEA,0.7440000176429749,0.7476748824119568
octmnist,DBEA,0.7433333992958069,0.7480003833770752
