dataset,algorithm,accuracy,f1score
octmnist,NSGAII,0.7883332967758179,0.7928583025932312
octmnist,NSGAII,0.7853333950042725,0.7901785969734192
octmnist,NSGAII,0.783666729927063,0.7841331958770752
octmnist,NSGAII,0.7883333563804626,0.7932323217391968
octmnist,NSGAII,0.7730000019073486,0.773198127746582
octmnist,NSGAII,0.7883333563804626,0.7932323217391968
octmnist,NSGAII,0.7883333563804626,0.7932323217391968
octmnist,NSGAII,0.784333348274231,0.7889229655265808
octmnist,NSGAII,0.7720000147819519,0.7766730189323425
octmnist,NSGAII,0.7883332967758179,0.7928583025932312
