dataset,algorithm,accuracy,f1score
octmnist,PAES,0.25,0.0
octmnist,PAES,0.6589999794960022,0.6649648547172546
octmnist,PAES,0.7506666779518127,0.7545108199119568
octmnist,PAES,0.6790000200271606,0.6821056604385376
octmnist,PAES,0.7043333649635315,0.7078682780265808
octmnist,PAES,0.718999981880188,0.7224308848381042
octmnist,PAES,0.7093333601951599,0.71200031042099
octmnist,PAES,0.49800002574920654,0.4695870280265808
octmnist,PAES,0.4830000102519989,0.4919363856315613
octmnist,PAES,0.628000020980835,0.6291232109069824
