dataset,algorithm,accuracy,f1score
octmnist,PESA2,0.7883333563804626,0.7932323217391968
octmnist,PESA2,0.7756667137145996,0.7791883945465088
octmnist,PESA2,0.7883332967758179,0.7928583025932312
octmnist,PESA2,0.7756667137145996,0.7791883945465088
octmnist,PESA2,0.7703333497047424,0.7747395634651184
octmnist,PESA2,0.7706667184829712,0.7721819281578064
octmnist,PESA2,0.7746666669845581,0.7766068577766418
octmnist,PESA2,0.7746666669845581,0.7766068577766418
octmnist,PESA2,0.7756667137145996,0.7791883945465088
octmnist,PESA2,0.7720000147819519,0.7766730189323425
