dataset,algorithm,accuracy,f1score
octmnist,SMSEMOA,0.7420000433921814,0.7452566623687744
octmnist,SMSEMOA,0.7586666941642761,0.7623698115348816
octmnist,SMSEMOA,0.749666690826416,0.7535187005996704
octmnist,SMSEMOA,0.7623333930969238,0.766415536403656
octmnist,SMSEMOA,0.7730000019073486,0.773198127746582
octmnist,SMSEMOA,0.7546666860580444,0.7594866156578064
octmnist,SMSEMOA,0.7746666669845581,0.7766068577766418
octmnist,SMSEMOA,0.753000020980835,0.7540457248687744
octmnist,SMSEMOA,0.7516667246818542,0.7563709020614624
octmnist,SMSEMOA,0.7576667070388794,0.761114239692688
