dataset,algorithm,accuracy,f1score
octmnist,eMOEA,0.7883333563804626,0.7932323217391968
octmnist,eMOEA,0.768666684627533,0.7711588144302368
octmnist,eMOEA,0.7470000386238098,0.7525421380996704
octmnist,eMOEA,0.746999979019165,0.752663254737854
octmnist,eMOEA,0.768666684627533,0.7711588144302368
octmnist,eMOEA,0.7556667327880859,0.75908362865448
octmnist,eMOEA,0.7586666941642761,0.7623698115348816
octmnist,eMOEA,0.7586666345596313,0.762401282787323
octmnist,eMOEA,0.7770000100135803,0.7825521230697632
octmnist,eMOEA,0.7576667070388794,0.7614862322807312
