dataset,algorithm,accuracy,f1score
organmnist_axial,SMSEMOA,0.9256759285926819,0.9254295229911804
organmnist_axial,SMSEMOA,0.9248321652412415,0.9246179461479187
organmnist_axial,SMSEMOA,0.9166948199272156,0.917155921459198
organmnist_axial,SMSEMOA,0.9117823839187622,0.9121459126472473
organmnist_axial,SMSEMOA,0.9151573181152344,0.9152486324310303
organmnist_axial,SMSEMOA,0.9070574045181274,0.9069005846977234
organmnist_axial,SMSEMOA,0.9187947511672974,0.9187058806419373
organmnist_axial,SMSEMOA,0.9187572598457336,0.9189520478248596
organmnist_axial,SMSEMOA,0.9191510081291199,0.9189518690109253
organmnist_axial,SMSEMOA,0.9244571924209595,0.9240045547485352
