dataset,algorithm,accuracy,f1score
organmnist_axial,PAES,0.8243147134780884,0.824022114276886
organmnist_axial,PAES,0.8665016293525696,0.8661884069442749
organmnist_axial,PAES,0.6989350318908691,0.6987303495407104
organmnist_axial,PAES,0.9250384569168091,0.9249587059020996
organmnist_axial,PAES,0.8327333331108093,0.8383839130401611
organmnist_axial,PAES,0.8527581095695496,0.8525950312614441
organmnist_axial,PAES,0.895076334476471,0.8950684070587158
organmnist_axial,PAES,0.880882740020752,0.8807751536369324
organmnist_axial,PAES,0.8933888077735901,0.8980967402458191
organmnist_axial,PAES,0.9094198942184448,0.9090121388435364
