dataset,algorithm,accuracy,f1score
pathmnist,DBEA,0.8802692890167236,0.8807001113891602
pathmnist,DBEA,0.8830083608627319,0.8828138709068298
pathmnist,DBEA,0.8857474327087402,0.886669933795929
pathmnist,DBEA,0.8870473504066467,0.8859391212463379
pathmnist,DBEA,0.8836582899093628,0.8842653632164001
pathmnist,DBEA,0.8890436291694641,0.8879233598709106
pathmnist,DBEA,0.8967966437339783,0.8972000479698181
pathmnist,DBEA,0.8916434645652771,0.8902381658554077
pathmnist,DBEA,0.8967966437339783,0.8972000479698181
pathmnist,DBEA,0.8830083608627319,0.8828138709068298
