dataset,algorithm,accuracy,f1score
pathmnist,NSGAII,0.9029247760772705,0.9048282504081726
pathmnist,NSGAII,0.9029247760772705,0.9048282504081726
pathmnist,NSGAII,0.8967966437339783,0.8972000479698181
pathmnist,NSGAII,0.9029247760772705,0.9048282504081726
pathmnist,NSGAII,0.9029247760772705,0.9048282504081726
pathmnist,NSGAII,0.8967966437339783,0.8972000479698181
pathmnist,NSGAII,0.9029247760772705,0.9048282504081726
pathmnist,NSGAII,0.8967966437339783,0.8972000479698181
pathmnist,NSGAII,0.9029247760772705,0.9048282504081726
pathmnist,NSGAII,0.9029247760772705,0.9048282504081726
