dataset,algorithm,accuracy,f1score
pathmnist,PAES,0.8230733275413513,0.823578417301178
pathmnist,PAES,0.5218663215637207,0.4419519603252411
pathmnist,PAES,0.797446608543396,0.7969334721565247
pathmnist,PAES,0.8097957372665405,0.8103184700012207
pathmnist,PAES,0.8731662631034851,0.8726785182952881
pathmnist,PAES,0.8026926517486572,0.8027735948562622
pathmnist,PAES,0.7600278854370117,0.7580421566963196
pathmnist,PAES,0.7764159440994263,0.7765174508094788
pathmnist,PAES,0.8534819483757019,0.8521362543106079
pathmnist,PAES,0.8024141192436218,0.8013095855712891
