dataset,algorithm,accuracy,f1score
pathmnist,SMSEMOA,0.8740947246551514,0.8744968771934509
pathmnist,SMSEMOA,0.8692200779914856,0.8687897324562073
pathmnist,SMSEMOA,0.8856081366539001,0.885921835899353
pathmnist,SMSEMOA,0.8870473504066467,0.8859391212463379
pathmnist,SMSEMOA,0.8891829252243042,0.8899046182632446
pathmnist,SMSEMOA,0.8810585141181946,0.8800704479217529
pathmnist,SMSEMOA,0.893314778804779,0.8942265510559082
pathmnist,SMSEMOA,0.8701485991477966,0.8705665469169617
pathmnist,SMSEMOA,0.8731197714805603,0.8731218576431274
pathmnist,SMSEMOA,0.8412720561027527,0.8420382738113403
