dataset,algorithm,accuracy,f1score
pathmnist,eMOEA,0.8763231635093689,0.8756812810897827
pathmnist,eMOEA,0.8479573130607605,0.8485890030860901
pathmnist,eMOEA,0.8900650143623352,0.888796329498291
pathmnist,eMOEA,0.8821262717247009,0.881111204624176
pathmnist,eMOEA,0.8664345145225525,0.8665215969085693
pathmnist,eMOEA,0.9029247760772705,0.9048282504081726
pathmnist,eMOEA,0.8599349856376648,0.8602847456932068
pathmnist,eMOEA,0.8786444067955017,0.8779365420341492
pathmnist,eMOEA,0.878830075263977,0.8773412704467773
pathmnist,eMOEA,0.8802692890167236,0.8844336867332458
